settlement_date,settlement_period,fuel_type,generation_mw,start_time,publish_time,gas_day,ingested_at,updated_at
2026-07-06,44,INTGRNL,0,2026-07-06T20:30:00Z,2026-07-06T21:00:00Z,2026-07-06,2026-07-07T13:27:28.684449+00:00,2026-07-07T13:34:26.011025+00:00
2026-07-06,44,INTIFA2,478,2026-07-06T20:30:00Z,2026-07-06T21:00:00Z,2026-07-06,2026-07-07T13:27:28.684449+00:00,2026-07-07T13:34:26.011025+00:00
2026-07-06,44,INTIRL,-454,2026-07-06T20:30:00Z,2026-07-06T21:00:00Z,2026-07-06,2026-07-07T13:27:28.684449+00:00,2026-07-07T13:34:26.011025+00:00
2026-07-06,44,INTNED,562,2026-07-06T20:30:00Z,2026-07-06T21:00:00Z,2026-07-06,2026-07-07T13:27:28.684449+00:00,2026-07-07T13:34:26.011025+00:00
2026-07-06,44,INTNEM,-794,2026-07-06T20:30:00Z,2026-07-06T21:00:00Z,2026-07-06,2026-07-07T13:27:28.684449+00:00,2026-07-07T13:34:26.011025+00:00
2026-07-06,44,INTNSL,1398,2026-07-06T20:30:00Z,2026-07-06T21:00:00Z,2026-07-06,2026-07-07T13:27:28.684449+00:00,2026-07-07T13:34:26.011025+00:00
2026-07-06,44,INTVKL,1426,2026-07-06T20:30:00Z,2026-07-06T21:00:00Z,2026-07-06,2026-07-07T13:27:28.684449+00:00,2026-07-07T13:34:26.011025+00:00
2026-07-06,44,NPSHYD,396,2026-07-06T20:30:00Z,2026-07-06T21:00:00Z,2026-07-06,2026-07-07T13:27:28.684449+00:00,2026-07-07T13:34:26.011025+00:00
2026-07-06,44,NUCLEAR,3000,2026-07-06T20:30:00Z,2026-07-06T21:00:00Z,2026-07-06,2026-07-07T13:27:28.684449+00:00,2026-07-07T13:34:26.011025+00:00
2026-07-06,44,OCGT,55,2026-07-06T20:30:00Z,2026-07-06T21:00:00Z,2026-07-06,2026-07-07T13:27:28.684449+00:00,2026-07-07T13:34:26.011025+00:00
2026-07-06,44,OIL,0,2026-07-06T20:30:00Z,2026-07-06T21:00:00Z,2026-07-06,2026-07-07T13:27:28.684449+00:00,2026-07-07T13:34:26.011025+00:00
2026-07-06,44,OTHER,1273,2026-07-06T20:30:00Z,2026-07-06T21:00:00Z,2026-07-06,2026-07-07T13:27:28.684449+00:00,2026-07-07T13:34:26.011025+00:00
2026-07-06,44,PS,470,2026-07-06T20:30:00Z,2026-07-06T21:00:00Z,2026-07-06,2026-07-07T13:27:28.684449+00:00,2026-07-07T13:34:26.011025+00:00
2026-07-06,44,WIND,8389,2026-07-06T20:30:00Z,2026-07-06T21:00:00Z,2026-07-06,2026-07-07T13:27:28.684449+00:00,2026-07-07T13:34:26.011025+00:00
2026-07-06,43,BIOMASS,2030,2026-07-06T20:00:00Z,2026-07-06T20:30:00Z,2026-07-06,2026-07-07T13:27:28.684449+00:00,2026-07-07T13:34:26.011025+00:00
2026-07-06,43,CCGT,7896,2026-07-06T20:00:00Z,2026-07-06T20:30:00Z,2026-07-06,2026-07-07T13:27:28.684449+00:00,2026-07-07T13:34:26.011025+00:00
2026-07-06,43,COAL,0,2026-07-06T20:00:00Z,2026-07-06T20:30:00Z,2026-07-06,2026-07-07T13:27:28.684449+00:00,2026-07-07T13:34:26.011025+00:00
2026-07-06,43,INTELEC,642,2026-07-06T20:00:00Z,2026-07-06T20:30:00Z,2026-07-06,2026-07-07T13:27:28.684449+00:00,2026-07-07T13:34:26.011025+00:00
2026-07-06,43,INTEW,-532,2026-07-06T20:00:00Z,2026-07-06T20:30:00Z,2026-07-06,2026-07-07T13:27:28.684449+00:00,2026-07-07T13:34:26.011025+00:00
2026-07-06,43,INTFR,1262,2026-07-06T20:00:00Z,2026-07-06T20:30:00Z,2026-07-06,2026-07-07T13:27:28.684449+00:00,2026-07-07T13:34:26.011025+00:00
2026-07-06,43,INTGRNL,0,2026-07-06T20:00:00Z,2026-07-06T20:30:00Z,2026-07-06,2026-07-07T13:27:28.684449+00:00,2026-07-07T13:34:26.011025+00:00
2026-07-06,43,INTIFA2,490,2026-07-06T20:00:00Z,2026-07-06T20:30:00Z,2026-07-06,2026-07-07T13:27:28.684449+00:00,2026-07-07T13:34:26.011025+00:00
2026-07-06,43,INTIRL,-454,2026-07-06T20:00:00Z,2026-07-06T20:30:00Z,2026-07-06,2026-07-07T13:27:28.684449+00:00,2026-07-07T13:34:26.011025+00:00
2026-07-06,43,INTNED,574,2026-07-06T20:00:00Z,2026-07-06T20:30:00Z,2026-07-06,2026-07-07T13:27:28.684449+00:00,2026-07-07T13:34:26.011025+00:00
2026-07-06,43,INTNEM,-796,2026-07-06T20:00:00Z,2026-07-06T20:30:00Z,2026-07-06,2026-07-07T13:27:28.684449+00:00,2026-07-07T13:34:26.011025+00:00
2026-07-06,43,INTNSL,1398,2026-07-06T20:00:00Z,2026-07-06T20:30:00Z,2026-07-06,2026-07-07T13:27:28.684449+00:00,2026-07-07T13:34:26.011025+00:00
2026-07-06,43,INTVKL,1426,2026-07-06T20:00:00Z,2026-07-06T20:30:00Z,2026-07-06,2026-07-07T13:27:28.684449+00:00,2026-07-07T13:34:26.011025+00:00
2026-07-06,43,NPSHYD,445,2026-07-06T20:00:00Z,2026-07-06T20:30:00Z,2026-07-06,2026-07-07T13:27:28.684449+00:00,2026-07-07T13:34:26.011025+00:00
2026-07-06,43,NUCLEAR,3002,2026-07-06T20:00:00Z,2026-07-06T20:30:00Z,2026-07-06,2026-07-07T13:27:28.684449+00:00,2026-07-07T13:34:26.011025+00:00
2026-07-06,43,OCGT,54,2026-07-06T20:00:00Z,2026-07-06T20:30:00Z,2026-07-06,2026-07-07T13:27:28.684449+00:00,2026-07-07T13:34:26.011025+00:00
2026-07-06,43,OIL,0,2026-07-06T20:00:00Z,2026-07-06T20:30:00Z,2026-07-06,2026-07-07T13:27:28.684449+00:00,2026-07-07T13:34:26.011025+00:00
2026-07-06,43,OTHER,1561,2026-07-06T20:00:00Z,2026-07-06T20:30:00Z,2026-07-06,2026-07-07T13:27:28.684449+00:00,2026-07-07T13:34:26.011025+00:00
2026-07-06,43,PS,508,2026-07-06T20:00:00Z,2026-07-06T20:30:00Z,2026-07-06,2026-07-07T13:27:28.684449+00:00,2026-07-07T13:34:26.011025+00:00
2026-07-06,43,WIND,8704,2026-07-06T20:00:00Z,2026-07-06T20:30:00Z,2026-07-06,2026-07-07T13:27:28.684449+00:00,2026-07-07T13:34:26.011025+00:00
2026-07-06,42,BIOMASS,2028,2026-07-06T19:30:00Z,2026-07-06T20:00:00Z,2026-07-06,2026-07-07T13:27:28.684449+00:00,2026-07-07T13:34:26.011025+00:00
2026-07-06,42,CCGT,7603,2026-07-06T19:30:00Z,2026-07-06T20:00:00Z,2026-07-06,2026-07-07T13:27:28.684449+00:00,2026-07-07T13:34:26.011025+00:00
2026-07-06,42,COAL,0,2026-07-06T19:30:00Z,2026-07-06T20:00:00Z,2026-07-06,2026-07-07T13:27:28.684449+00:00,2026-07-07T13:34:26.011025+00:00
